nh3 3 50770
nh3 3 50774
nh3 3 50775
nh3 3 50777
nh3 3 50778
nh3 3 50779
nh3 3 50780
nh3 3 50781
nh3 3 50785
nh3 3 50786
nh3 3 50787
nh3 3 50788
nh3 3 50789
nh3 3 50790
nh3 3 50791
nh3 3 50792
nh3 3 50793
nh3 3 50794
nh3 3 50795
nh3 3 50796
nh3 3 50800
nh3 3 50801
nh3 3 50802
nh3 3 50803
nh3 3 50804
nh3 3 50805
nh3 3 50807
nh3 3 50810
nh3 3 50811
nh3 3 50812
nh3 3 50813
nh3 3 50814
nh3 3 50815
nh3 3 50816
nh3 3 50817
nh3 3 50818
nh3 3 50819
nh3 3 50821
nh3 3 50823
nh3 3 50824
nh3 3 50825
nh3 3 50826
nh3 3 50827
nh3 3 50828
nh3 3 50829
nh3 3 50831
nh3 3 50841
nh3 3 50842
nh3 3 50844
nh3 3 50845
nh3 3 50846
nh3 3 50847
nh3 3 50849
nh3 3 50850
nh3 3 50851
nh3 3 50852
nh3 3 50853
nh3 3 50854
nh3 3 50856
nh3 3 50857
nh3 3 50858
nh3 3 50859
nh3 3 50880
nh3 3 50882
nh3 3 50884
nh3 3 50888
nh3 3 50889
nh3 3 50891
nh3 3 50892
nh3 3 50895
nh3 3 50896
nh3 3 50897
nh3 3 50899
nh3 3 50900
nh3 3 50901
nh3 3 50902
nh3 3 50903
nh3 3 50906
nh3 3 50907
nh3 3 50908
nh3 3 50925
nh3 3 50926
nh3 3 50928
nh3 3 50929
nh3 3 50930
nh3 3 50933
nh3 3 50934
nh3 3 50935
nh3 3 50937
nh3 3 50938
nh3 3 50940
nh3 3 50942
nh3 3 50943
nh3 3 50944
nh3 3 50946
nh3 3 50947
nh3 3 50948
nh3 3 50954
nh3 3 50956
nh3 3 50958
nh3 3 50959
nh3 3 50960
nh3 3 50962
nh3 3 50965
nh3 3 50966
nh3 3 50967
nh3 3 50977
nh3 3 50978
nh3 3 50980
nh3 3 50981
nh3 3 50982
nh3 3 50983
